name,address
Point G Gourmand,"ADRESSE: 46 avenue abderrahmen ibn aouf, menzah 6, a coté MF Coffee a coté STB Grand Tunis Les coordonnées: 36.842937, 10.166308"
Farmhouse,"ADRESSE: manzeh 5, Rue Mustapha abdsalem , Grand Tunis Les coordonnées: 36.851498, 10.1738"
Mamma Time El Menzah 9,"ADRESSE: el menzah 9 prés centre el makni rue imem ibno hanifa Grand Tunis Les coordonnées: 36.846195, 10.153598"
INSOMNIA,"ADRESSE: cité ennaser el hedi nouira prés kiosque Total et carefour express Grand Tunis Les coordonnées: 36.855934, 10.155309"
Restaurant Abouda,"ADRESSE: Rue Mohamed Rached Beji , cité ennaser Grand Tunis Les coordonnées: 36.861984, 10.163717"
Butterfly,"ADRESSE: El menzah 5 14 rue Ahmed Tlili prés restaurant Dar Fatma Grand Tunis Les coordonnées: 36.84491, 10.167727"
Maxim'z,"ADRESSE: Manzeh 6 Rue Khadija Ibn Khouwayla, Grand Tunis Les coordonnées: 36.848911, 10.166168"
i Fratelli,"ADRESSE: Av. Hedi Nouira cité Ennaser 2 Grand Tunis Les coordonnées: 36.864174, 10.166918"
KALINA,"ADRESSE: 18 RUE GOLF ARABE manzah 8 Grand Tunis Les coordonnées: 36.855782, 10.174822"
Pizza El Andalous,"ADRESSE: Riadh Al Andalous, Ikamet Omran 10 Grand Tunis Les coordonnées: 36.879803, 10.179439"
Eat and Drink,"ADRESSE: Avenue lére nouvelle cité ennasser Grand Tunis Les coordonnées: 36.862122, 10.155778"
Piazza Navona,"ADRESSE: Cité Ennaser Grand Tunis Les coordonnées: 36.859406, 10.164193"
Try'o,"ADRESSE: Rue Hassan Ennouri, Menzeh 5 Grand Tunis Les coordonnées: 36.850437, 10.177837"
Restaurant Weld El Houma,"ADRESSE: El Menzah 6 , Rue kaab، Ibnou Assaker St, Ariana Prés Restaurant CHEMI Grand Tunis Les coordonnées: 36.844124, 10.166389"
Five O'Clock,"ADRESSE: 2,4 Avenue Hedi Nouira Ennacer 2 Grand Tunis Les coordonnées: 36.856007, 10.160138"
By Tacos Ennasser,"ADRESSE: à ennaser avenue hedi nouira Grand Tunis Les coordonnées: 36.863209, 10.165819"
Farm Ranch Ennasser,"ADRESSE: Avenue Hedi Nouira, Cité ennasser Grand Tunis Les coordonnées: 36.856644, 10.160513"
TASTY Ennasser,"ADRESSE: ennaser 2, Residence yaghourta en face de l'école slim school et fringale Ariana Grand Tunis Les coordonnées: 36.862061, 10.155821"
PIZZA MARSEILLE ARIANA,"ADRESSE: rue 6 ali bahlaoun , ariana a coté café jardin et kiosque total Grand Tunis Les coordonnées: 36.856995, 10.187909"
"Allo Poisson ""El Sayed""","ADRESSE: à ariana, a coté SOLTANA prés de centre kobbi Grand Tunis Les coordonnées: 36.849739, 10.182449"
Toast,"ADRESSE: 17, Rue Mustapha Abdessalem, Menzeh 5 Grand Tunis Les coordonnées: 36.852272, 10.17347"
Wasawok ( Sushi ),"ADRESSE: 50 rue Abdelrrahman Khabthani Nouvelle Ariana Grand Tunis Les coordonnées: 36.854359, 10.179364"
La Coupole,"ADRESSE: Avenue Hedi Nouira , cité ennaser Grand Tunis Les coordonnées: 36.861794, 10.164616"
Il Capo,"ADRESSE: Boulevard de la terre , Centre Urbain Nord, Grand Tunis Les coordonnées: 36.846748, 10.195697"
Craft Coffe & Food,"ADRESSE: Rue Boukhara Grand Tunis Les coordonnées: 36.867512, 10.17415"
Uno Pizza,"ADRESSE: AV DES ETOILES EL MENZAH 8 Ariana Menzah 8 Grand Tunis Les coordonnées: 36.855972, 10.168574"
Picanha Grill,"ADRESSE: Avenue Hedi Nouira, Ennaser 2 Ariana Grand Tunis Les coordonnées: 36.863785, 10.166841"
BELFAST,"ADRESSE: Cité Ennasr Avenue Jallouli Fares après Le Bon Goût Grand Tunis Les coordonnées: 36.864208, 10.17222"
The 716,"ADRESSE: 83 avenue mouaaouia ibn abi sofien, en face MG a coté Lycée d'El Menzah 6 Grand Tunis Les coordonnées: 36.851879, 10.165004"
Plan B El Menzah 5,"ADRESSE: Menzeh 5 Grand Tunis Les coordonnées: 36.86874, 10.170606"
Quebe'Quoi,"ADRESSE: El Menzah 8 , 01 Rue Erriha , Prés salon de thé the Cup et salon de thé Eric kaiser Grand Tunis Les coordonnées: 36.854015, 10.172089"
La Campagnola,"ADRESSE: Ennaser 2, Avenue Ariana Les Roses En Parallèles Avenue Hédi Nouira 2037 Grand Tunis Les coordonnées: 36.857685, 10.162064"
Poffertjes,"ADRESSE: Manar 2 12 avenue yousef ruissi prés taksim Grand Tunis Les coordonnées: 36.837681, 10.155834"
Smug's Ennasr,"ADRESSE: Acité Ennasr, Avenue Hedi Nouira Grand Tunis Les coordonnées: 36.863304, 10.165857"
Bronx Charguia 1,"ADRESSE: 9 rue de l'énergie atomique, Z.I. Charguia 1, 2035 tunis a coté Biat charguia 1 Grand Tunis Les coordonnées: 36.836246, 10.203158"
What's Up Menzah 5,"ADRESSE: 6 avenue de la liberté Manzah 5 Manzah 5 Grand Tunis Les coordonnées: 36.850735, 10.177727"
Montana,"ADRESSE: Ezzhara, Bou Mhel el-Bassatine Grand Tunis Les coordonnées: 36.732651, 10.312171"
GRILL 33,"ADRESSE: Rue Salambo, Hammam Lif Grand Tunis Les coordonnées: 36.727806, 10.337431"
Baguette Ezzhara,"ADRESSE: 11 rue Alferdaws، Ez Zahra Grand Tunis Les coordonnées: 36.733765, 10.31594"
Restaurant Allo Paname,"ADRESSE: Rue Salambo, Hammam Lif Grand Tunis Les coordonnées: 36.729477, 10.338661"
Pizza Apollino,"ADRESSE: Ezzhara lycée Grand Tunis Les coordonnées: 36.740128, 10.315292"
Restaurant Le 55,"ADRESSE: Boumhal , rue El Bal Air Prés Taleb School Grand Tunis Les coordonnées: 36.728073, 10.305853"
